what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1424725696030
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1424725696030
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1424725696030
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1424725696030
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1424725696030
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1424725696030
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1424725696030
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1424725696030
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1424725696030
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1424725696030
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1424725696046
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1424725696046
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1424725696062
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1424725696062
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1424725696062
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1424725696077
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1424725696077
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1424725696077
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1424725696077
os,sysinfo,,,"win32",1424725696077
arch,sysinfo,,,"x86",1424725696077
ws,sysinfo,,,"win32",1424725696077
locale,sysinfo,,,"en_CA",1424725696077
processors,sysinfo,,,"8",1424725696077
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1424725696077
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1424725696077
java.specification.name,sysinfo,,,"Java Platform API Specification",1424725696077
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1424725696077
java.specification.version,sysinfo,,,"1.6",1424725696077
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1424725696077
java.version,sysinfo,,,"1.6.0_23",1424725696077
java.vm.info,sysinfo,,,"mixed mode",1424725696077
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1424725696077
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1424725696077
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1424725696077
java.vm.specification.version,sysinfo,,,"1.0",1424725696077
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1424725696077
java.vm.version,sysinfo,,,"19.0-b09",1424725696077
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1424725696764
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1424725697122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424725698807
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1424725699446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424725700580
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1424725701868
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1424725702227
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1424725702461
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1424725704691
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1424725704863
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1424725704878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424725705876
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1424725706001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424725710103
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1424725712349
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1424725712380
opened,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1424725714080
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1424725714486
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1424725714548
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1424725714564
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1424725714564
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1424725714626
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1424725750954
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1424725770606
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1424725771183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424725963893
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424726011423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424726208080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424726209343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424726212775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424726214101
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1424726214148
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424726214257
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1424726214788
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1424726214835
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.1.1.243,"com.altera.debug.cdi.gdb.plugin",1424726214835
stopped,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1424726215771
stopped,bundle,com.altera.sbtgui.ui,12.1.1.243,"com.altera.sbtgui.ui",1424726215771
stopped,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1424726215771
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1424726215771
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1424726215771
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1424726215771
